feature,importance
Colour_Pure Black,5.250303261494698e-05
Colour_Carbon Black,5.221093749192593e-05
Processor__Qualcomm SM6225 Snapdragon 680 4G (6 nm),5.146931188360545e-05
Model_POCO C55,5.125793491764452e-05
Processor__Dimensity 810,4.936081063455267e-05
Colour_Meterorite Grey,4.8227500938956864e-05
Processor__Dimensity 8020,4.813442514980381e-05
Colour_Sky Blue,4.771682797952585e-05
Colour_Orange,4.6312054874980475e-05
Colour_Cosmic grey,4.615467930135649e-05
Colour_Midnight Black,4.586191079195056e-05
Model_POCO M4 5G,4.4388864637959614e-05
Model_SAMSUNG Galaxy F14 5G,4.4161402439579165e-05
Colour_Steller Black,4.280745800819612e-05
Processor__Mediatek Helio G85,4.206640544374217e-05
Colour_Pearl White,4.108729475369439e-05
Colour_Deep Ocean Blue,4.099790572960617e-05
Model_Infinix HOT 30i,4.093740925207306e-05
Colour_White Lily,4.083777461940648e-05
Processor__Unisoc T606,3.997190112881984e-05
Model_OPPO F21s Pro,3.966820059458892e-05
Processor__Qualcomm Snapdragon 439,3.9409267716598126e-05
Model_realme C35,3.92272801050105e-05
Processor__MediaTek Helio G85,3.9110140806637546e-05
Colour_Matte Charcoal,3.8677959169589975e-05
Colour_Charcoal Grey,3.864134776838305e-05
Model_vivo Y21T,3.863258282094423e-05
Colour_Steel Blue,3.846915005114933e-05
Model_OPPO A77,3.694087403605741e-05
Model_vivo Y12G,3.6812979839935235e-05
Colour_Speed Blue,3.598602956004367e-05
Model_POCO X4 Pro 5G,3.538572842794928e-05
Model_realme C33 2023,3.371970329390077e-05
Processor__Dimensity 6020,3.3580021923026166e-05
Processor__Snapdragon 685,3.351473567905942e-05
Processor__G37,3.3471568268150525e-05
Model_SAMSUNG M53 5G,3.28696269621273e-05
Colour_Laser Black,3.240056878354117e-05
Colour_Light Green,3.2270849237137665e-05
Colour_Aquamarine Blue,3.096237412943481e-05
Colour_Aurora Gold,3.0753255501454265e-05
Colour_Nitro Blaze,2.9802598901579046e-05
Model_vivo T2x 5G,2.972636367458368e-05
Colour_Silver,2.9435378667601082e-05
Model_SAMSUNG Galaxy F04,2.8991543544396948e-05
Colour_Mystique Blue,2.893130449796031e-05
Colour_Rocking Black,2.8884591212479885e-05
Colour_Racing Silver,2.8828795217927575e-05
Model_REDMI 10,2.8025681017847702e-05
Colour_Dancing waves,2.7858692377060236e-05
Processor__Qualcomm Snapdragon 888 Octa-Core,2.7731505517394217e-05
Colour_Ice Dawn,2.682090694500864e-05
Model_POCO C31,2.6172824601738416e-05
Model_OPPO F21 Pro,2.5623293435747463e-05
Model_MOTOROLA g42,2.3903370385280448e-05
Model_MOTOROLA g31,2.3854916231840817e-05
Model_vivo Y35,2.362160613233168e-05
Colour_Elegant Black,2.3563368520719367e-05
Model_REDMI 10A SPORT,2.273839458726945e-05
Model_realme 8i,2.259061377738561e-05
Processor__Unisoc T616,2.220396054114749e-05
Model_realme Narzo 50A Prime,2.215254842476733e-05
Processor__Exynos Octa Core,2.1480637469719583e-05
Colour_Nightsky Green,2.130714866299548e-05
Colour_Speed Black,1.9796391051927234e-05
Colour_Snowstorm White,1.969330390442781e-05
Colour_Starlight Black,1.9352903206181918e-05
Processor__Unisoc Spreadtrum SC9863A1,1.9251528473399616e-05
Colour_Metallic Rose,1.9033925668726792e-05
Model_Infinix Hot 20 5G,1.8985163976443123e-05
Colour_Playful Green,1.87954814390685e-05
Model_MOTOROLA g73 5G,1.8359297169107476e-05
Colour_Lightsaber Green,1.761355589858669e-05
Processor__MediaTek Helio G96,1.740908708767265e-05
Colour_Oxygen Blue,1.736449029342559e-05
Processor__MTK Dimensity 700,1.7314662662494526e-05
Processor__Dimensity 8200,1.711048349469907e-05
Colour_Sunrise Gold,1.6923688770505322e-05
Model_realme Narzo 50A,1.690225597350357e-05
Model_REDMI Note 10 Lite,1.6342662524646788e-05
Model_SAMSUNG Galaxy A13,1.6128033763394077e-05
Processor__MediaTek Helio P35,1.6041685551045708e-05
Model_SAMSUNG Galaxy A04e,1.594283507751285e-05
Model_MOTOROLA G62 5G,1.574330723128445e-05
Colour_Metallic White,1.561718881771348e-05
Colour_Agate Black,1.5584157700052647e-05
Colour_Electric Blue,1.5549411472073858e-05
Colour_Supernova Green,1.5462695226677014e-05
Processor__Helio G36,1.529214199650521e-05
Processor__MediaTek Dimensity 700,1.5128932877473195e-05
Model_Infinix Smart 6,1.4972745197731394e-05
Colour_Icy Blue,1.4809862797904697e-05
Processor__Octa Core,1.47207085626324e-05
Colour_Forest Green,1.4378563469125918e-05
Model_Tecno Spark Go 2023,1.403627832066901e-05
Colour_Royal Blue,1.3850181928444965e-05
Colour_OMG Black,1.3371287358017545e-05
Colour_Cosmic Black,1.3069197200211726e-05
Colour_Midnight Galaxy,1.3054845506922733e-05
Processor__MediaTek Helio G70,1.3045048533915764e-05
Colour_Copper Blush,1.3008621274295914e-05
Model_MOTOROLA g22,1.2715255920944714e-05
Colour_Space Blue,1.2510639953346978e-05
Colour_Racing Blue,1.2414433682584277e-05
Colour_Flash Blue,1.2238078248529713e-05
Model_Infinix Hot 11,1.1835058111530981e-05
Processor__MediaTek Helio G80,1.142324916308895e-05
Colour_Meteor Grey,1.1288986089954436e-05
Colour_Aurora Blue,1.1178468173575305e-05
Colour_Oxygen Green,1.1138625238849878e-05
Colour_Lake Blue,1.1014560541938378e-05
Colour_Baby Blue,1.08868468767908e-05
Colour_Emerald Green,1.0840004208501157e-05
Colour_Drizzling Gold,1.0807553704133154e-05
Colour_Arctic Blue,1.0677325011941711e-05
Model_vivo Y565G,1.0507417790094971e-05
Colour_Watery Grey,1.0329360049786979e-05
Colour_Glimmer Black,1.0263789533685666e-05
Colour_Turquoise Cyan,1.0145614539473178e-05
Colour_Sunlight Orange,9.948893367082575e-06
Model_realme 9 5G SE,9.720539052538523e-06
Colour_Turbo Cyan,9.641319756619245e-06
Model_vivo Y33s,9.560766517355205e-06
Colour_Magic Blue,9.506233459133292e-06
Model_MOTOROLA g72,9.452738465762097e-06
Model_redmi max,9.448862509643217e-06
Colour_Atlantic Green,9.448008494018573e-06
Colour_Starry Black,9.443918404309655e-06
Processor__Qualcomm Snapdragon 680 (SM6225),9.299225681702117e-06
Colour_Matte Black,9.265767582148779e-06
Model_POCO C51,9.139540991875665e-06
Model_realme 10,9.031152717204175e-06
Processor__Meditek Helio G37,9.023955412473267e-06
Model_realme 9i,8.841293260720157e-06
Colour_Frosted Green,8.833813355722364e-06
Processor__Mediatek Dimensity 930,8.821557058397719e-06
Colour_Eco Black,8.65868368454767e-06
Processor__Helio G25,8.652944018059554e-06
Processor__Unisoc T610,8.570309160411175e-06
Colour_Prism Black,8.512802917513715e-06
Model_realme 8,8.507451438596545e-06
Colour_Stripe Black,8.476291395865612e-06
Processor__Helio G88,8.402464392089082e-06
Colour_Aqua Blue,8.26643329574232e-06
Colour_GOAT Green,8.222459842838095e-06
Model_Infinix SMART 7,8.198314873366742e-06
Model_Micromax IN 2C,8.157168014398269e-06
Model_REDMI Note 9,8.138466080774604e-06
Colour_Navy Blue,8.054023718851759e-06
Colour_Matte black,8.038366940234193e-06
Colour_Obsidian Black,8.032171760394365e-06
Colour_Dark Blue,7.856456457899997e-06
Colour_Endless Black,7.300897000337434e-06
Processor__Mediatek Helio A22,7.100266829197858e-06
Colour_Polar Black,6.716203363023157e-06
Processor__MT6260A,6.611656526305654e-06
Model_realme Narzo 30 Pro 5G,6.559005620840301e-06
Colour_Hyperspace,6.489972704114531e-06
Colour_Azure Glow,6.464323792149983e-06
Colour_Dark Matter,6.449460330621799e-06
Colour_Blaster Green,6.148672160031086e-06
Colour_Starry Sky,5.99869925493525e-06
"Processor__2GHz, Quad Core ",5.997106792117441e-06
Model_LAVA Z2,5.980023715577925e-06
Colour_Noble Black,5.792298132429065e-06
Model_POCO M3 Pro 5G,5.733965911199583e-06
Colour_7Â° Purple,5.730036395541773e-06
Colour_Coral Green,5.7247198940681006e-06
Colour_M3),5.6892000001030065e-06
Colour_Dark Red,5.4447800054465305e-06
Colour_Space Black,5.398843151912223e-06
Colour_Pacific Blue,5.155592100808834e-06
Processor__Mediatek Helio G99 Octa Core,5.15065114571177e-06
Colour_Midnight Gray,5.121119331501852e-06
Model_realme C30s,5.1068964140520376e-06
Colour_Cyber Black,5.104479567170548e-06
Model_Infinix Smart 6 HD,5.006976801467549e-06
Colour_Mirror Black,4.998258201937796e-06
Colour_Night Sea,4.987213071212501e-06
Colour_Rainy Night,4.972682094991376e-06
Colour_Sunset Orange,4.916819972719645e-06
Processor__Unisoc,4.880996877943469e-06
Model_realme Narzo 50i,4.811411336583985e-06
Colour_Ice Blue,4.798821660548414e-06
Colour_Racing Black,4.730507778717641e-06
